TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        IS_NULLABLE
GoalMilestones                                                                                                                   IsAutomaticUpdate                                                                                                                bit                                                                                                                              NO         
GoalMilestones                                                                                                                   Source                                                                                                                           nvarchar                                                                                                                         YES        
GoalMilestones                                                                                                                   ReferenceId                                                                                                                      nvarchar                                                                                                                         YES        
Hash                                                                                                                             Key                                                                                                                              nvarchar                                                                                                                         NO         
Hash                                                                                                                             Field                                                                                                                            nvarchar                                                                                                                         NO         
Hash                                                                                                                             Value                                                                                                                            nvarchar                                                                                                                         YES        
Hash                                                                                                                             ExpireAt                                                                                                                         datetime2                                                                                                                        YES        
HelpArticle                                                                                                                      Id                                                                                                                               int                                                                                                                              NO         
HelpArticle                                                                                                                      Title                                                                                                                            nvarchar                                                                                                                         NO         
HelpArticle                                                                                                                      ShortDescription                                                                                                                 nvarchar                                                                                                                         NO         
HelpArticle                                                                                                                      Content                                                                                                                          nvarchar                                                                                                                         NO         
HelpArticle                                                                                                                      HelpCategoryId                                                                                                                   int                                                                                                                              NO         
HelpArticle                                                                                                                      Tags                                                                                                                             nvarchar                                                                                                                         YES        
HelpArticle                                                                                                                      CreatedDate                                                                                                                      datetime2                                                                                                                        NO         
HelpArticle                                                                                                                      LastModifiedDate                                                                                                                 datetime2                                                                                                                        NO         
HelpArticle                                                                                                                      Version                                                                                                                          nvarchar                                                                                                                         YES        
HelpArticle                                                                                                                      DisplayOrder                                                                                                                     int                                                                                                                              NO         
HelpArticle                                                                                                                      IsFeatured                                                                                                                       bit                                                                                                                              NO         
HelpArticle                                                                                                                      ViewCount                                                                                                                        int                                                                                                                              NO         
HelpArticle                                                                                                                      HasVideo                                                                                                                         bit                                                                                                                              NO         
HelpArticle                                                                                                                      VideoUrl                                                                                                                         nvarchar                                                                                                                         YES        
HelpArticle                                                                                                                      IsPrintable                                                                                                                      bit                                                                                                                              NO         
HelpArticleRelatedArticles                                                                                                       HelpArticleId                                                                                                                    int                                                                                                                              NO         
HelpArticleRelatedArticles                                                                                                       RelatedArticlesId                                                                                                                int                                                                                                                              NO         
HelpCategory                                                                                                                     Id                                                                                                                               int                                                                                                                              NO         
HelpCategory                                                                                                                     Name                                                                                                                             nvarchar                                                                                                                         NO         
HelpCategory                                                                                                                     Description                                                                                                                      nvarchar                                                                                                                         YES        
HelpCategory                                                                                                                     DisplayOrder                                                                                                                     int                                                                                                                              NO         
HelpCategory                                                                                                                     IconClass                                                                                                                        nvarchar                                                                                                                         YES        
HelpCategory                                                                                                                     ParentCategoryId                                                                                                                 int                                                                                                                              YES        
Job                                                                                                                              Id                                                                                                                               bigint                                                                                                                           NO         
Job                                                                                                                              StateId                                                                                                                          bigint                                                                                                                           YES        
Job                                                                                                                              StateName                                                                                                                        nvarchar                                                                                                                         YES        
Job                                                                                                                              InvocationData                                                                                                                   nvarchar                                                                                                                         NO         
Job                                                                                                                              Arguments                                                                                                                        nvarchar                                                                                                                         NO         
Job                                                                                                                              CreatedAt                                                                                                                        datetime                                                                                                                         NO         
Job                                                                                                                              ExpireAt                                                                                                                         datetime                                                                                                                         YES        
JobParameter                                                                                                                     JobId                                                                                                                            bigint                                                                                                                           NO         
JobParameter                                                                                                                     Name                                                                                                                             nvarchar                                                                                                                         NO         
JobParameter                                                                                                                     Value                                                                                                                            nvarchar                                                                                                                         YES        
JobQueue                                                                                                                         Id                                                                                                                               bigint                                                                                                                           NO         
JobQueue                                                                                                                         JobId                                                                                                                            bigint                                                                                                                           NO         
JobQueue                                                                                                                         Queue                                                                                                                            nvarchar                                                                                                                         NO         
JobQueue                                                                                                                         FetchedAt                                                                                                                        datetime                                                                                                                         YES        
List                                                                                                                             Id                                                                                                                               bigint                                                                                                                           NO         
List                                                                                                                             Key                                                                                                                              nvarchar                                                                                                                         NO         
List                                                                                                                             Value                                                                                                                            nvarchar                                                                                                                         YES        
List                                                                                                                             ExpireAt                                                                                                                         datetime                                                                                                                         YES        
LoginHistory                                                                                                                     Id                                                                                                                               int                                                                                                                              NO         
LoginHistory                                                                                                                     IdentityUserId                                                                                                                   nvarchar                                                                                                                         NO         
LoginHistory                                                                                                                     LoginTime                                                                                                                        datetime2                                                                                                                        NO         
LoginHistory                                                                                                                     IpAddress                                                                                                                        nvarchar                                                                                                                         NO         
LoginHistory                                                                                                                     UserAgent                                                                                                                        nvarchar                                                                                                                         YES        
LoginHistory                                                                                                                     IsSuccessful                                                                                                                     bit                                                                                                                              NO         
LoginHistory                                                                                                                     DeviceType                                                                                                                       nvarchar                                                                                                                         YES        
LoginHistory                                                                                                                     Platform                                                                                                                         nvarchar                                                                                                                         YES        
LogLevelOverrides                                                                                                                Id                                                                                                                               int                                                                                                                              NO         
LogLevelOverrides                                                                                                                SourceContext                                                                                                                    nvarchar                                                                                                                         NO         
LogLevelOverrides                                                                                                                LogLevel                                                                                                                         int                                                                                                                              NO         
LogLevelOverrides                                                                                                                LogLevelSettingsId                                                                                                               int                                                                                                                              NO         
LogLevelSettings                                                                                                                 Id                                                                                                                               int                                                                                                                              NO         
LogLevelSettings                                                                                                                 DefaultLogLevel                                                                                                                  int                                                                                                                              NO         
LogLevelSettings                                                                                                                 LastUpdated                                                                                                                      datetime2                                                                                                                        NO         
LogLevelSettings                                                                                                                 LastUpdatedBy                                                                                                                    nvarchar                                                                                                                         NO         
Notification                                                                                                                     Id                                                                                                                               int                                                                                                                              NO         
Notification                                                                                                                     AlertId                                                                                                                          int                                                                                                                              YES        
Notification                                                                                                                     UserId                                                                                                                           nvarchar                                                                                                                         NO         
Notification                                                                                                                     Title                                                                                                                            nvarchar                                                                                                                         NO         
Notification                                                                                                                     Message                                                                                                                          nvarchar                                                                                                                         NO         
Notification                                                                                                                     Type                                                                                                                             int                                                                                                                              NO         
Notification                                                                                                                     CreatedAt                                                                                                                        datetime2                                                                                                                        NO         
Notification                                                                                                                     IsRead                                                                                                                           bit                                                                                                                              NO         
Notification                                                                                                                     ReadAt                                                                                                                           datetime2                                                                                                                        YES        
Notification                                                                                                                     Url                                                                                                                              nvarchar                                                                                                                         YES        
PendingExerciseSelection                                                                                                         Id                                                                                                                               int                                                                                                                              NO         
PendingExerciseSelection                                                                                                         JobId                                                                                                                            nvarchar                                                                                                                         NO         
PendingExerciseSelection                                                                                                         ExerciseTypeId                                                                                                                   int                                                                                                                              NO         
PendingExerciseSelection                                                                                                         ExerciseName                                                                                                                     nvarchar                                                                                                                         NO         
PendingExerciseSelection                                                                                                         ApiResults                                                                                                                       nvarchar                                                                                                                         NO         
PendingExerciseSelection                                                                                                         IsResolved                                                                                                                       bit                                                                                                                              NO         
PendingExerciseSelection                                                                                                         SelectedApiExerciseIndex                                                                                                         int                                                                                                                              YES        
PendingExerciseSelection                                                                                                         CreatedAt                                                                                                                        datetime2                                                                                                                        NO         
PendingExerciseSelection                                                                                                         ResolvedAt                                                                                                                       datetime2                                                                                                                        YES        
ProgressionHistories                                                                                                             ProgressionHistoryId                                                                                                             int                                                                                                                              NO         
ProgressionHistories                                                                                                             ProgressionRuleId                                                                                                                int                                                                                                                              NO         
ProgressionHistories                                                                                                             SessionId                                                                                                                        int                                                                                                                              YES        
ProgressionHistories                                                                                                             ApplicationDate                                                                                                                  datetime2                                                                                                                        NO         
ProgressionHistories                                                                                                             ActionTaken                                                                                                                      nvarchar                                                                                                                         NO         
ProgressionHistories                                                                                                             PreviousValue                                                                                                                    decimal                                                                                                                          NO         
ProgressionHistories                                                                                                             NewValue                                                                                                                         decimal                                                                                                                          NO         
ProgressionHistories                                                                                                             Reason                                                                                                                           nvarchar                                                                                                                         YES        
ProgressionHistories                                                                                                             AppliedAutomatically                                                                                                             bit                                                                                                                              NO         
ProgressionHistories                                                                                                             CoachOverride                                                                                                                    bit                                                                                                                              NO         
ProgressionRules                                                                                                                 ProgressionRuleId                                                                                                                int                                                                                                                              NO         
ProgressionRules                                                                                                                 WorkoutTemplateExerciseId                                                                                                        int                                                                                                                              YES        
ProgressionRules                                                                                                                 WorkoutTemplateSetId                                                                                                             int                                                                                                                              YES        
ProgressionRules                                                                                                                 ClientUserId                                                                                                                     int                                                                                                                              YES        
ProgressionRules                                                                                                                 CoachUserId                                                                                                                      int                                                                                                                              NO         
ProgressionRules                                                                                                                 Name                                                                                                                             nvarchar                                                                                                                         NO         
ProgressionRules                                                                                                                 RuleType                                                                                                                         nvarchar                                                                                                                         NO         
ProgressionRules                                                                                                                 Parameter                                                                                                                        nvarchar                                                                                                                         NO         
ProgressionRules                                                                                                                 IncrementValue                                                                                                                   decimal                                                                                                                          NO         
ProgressionRules                                                                                                                 ConsecutiveSuccessesRequired                                                                                                     int                                                                                                                              NO         
ProgressionRules                                                                                                                 SuccessThreshold                                                                                                                 decimal                                                                                                                          NO         
ProgressionRules                                                                                                                 MaximumValue                                                                                                                     decimal                                                                                                                          YES        
ProgressionRules                                                                                                                 ApplyDeload                                                                                                                      bit                                                                                                                              NO         
ProgressionRules                                                                                                                 DeloadPercentage                                                                                                                 decimal                                                                                                                          NO         
ProgressionRules                                                                                                                 ConsecutiveFailuresForDeload                                                                                                     int                                                                                                                              NO         
ProgressionRules                                                                                                                 IsActive                                                                                                                         bit                                                                                                                              NO         
ProgressionRules                                                                                                                 CreatedDate                                                                                                                      datetime2                                                                                                                        NO         
ProgressionRules                                                                                                                 LastModifiedDate                                                                                                                 datetime2                                                                                                                        NO         
Rep                                                                                                                              RepId                                                                                                                            int                                                                                                                              NO         
Rep                                                                                                                              weight                                                                                                                           decimal                                                                                                                          NO         
